User_ID,Content_Type,Content_Duration,Watch_Time,Pause_Count,Replay_Count,Notes_Count,Quiz_Attempts,Quiz_Score,Login_Frequency,Session_Duration,Previous_Content_Completion,Device_Type,Time_of_Day,Completion_Status,Watch_Percentage,Average_Session_Time,Engagement_Score,Replay_Ratio,Quiz_Performance,Cluster,User_Segment
U014,Article,85,15,6,3,2,1,45,15,105,Not Completed,Tablet,Morning,Not Completed,17.647058823529413,7.0,27.913821591983673,0.1875,45.0,0,Passive Users
U015,Tutorial,18,18,7,3,4,1,61,8,103,Not Completed,Mobile,Morning,Completed,100.0,12.875,75.3541076487252,0.15789473684210525,61.0,1,Regular Learners
U016,Article,80,80,5,4,5,0,64,7,74,Not Completed,Tablet,Night,Completed,100.0,10.571428571428571,84.55919997269531,0.04938271604938271,64.0,1,Regular Learners
U017,Tutorial,37,37,5,4,5,3,57,9,180,Not Completed,Laptop,Afternoon,Completed,100.0,20.0,84.85613843475886,0.10526315789473684,19.0,2,Highly Engaged Learners
U018,Quiz,87,7,4,4,4,4,56,2,48,Completed,Laptop,Morning,Not Completed,8.045977011494253,24.0,26.618655926823443,0.5,14.0,0,Passive Users
U019,Video,104,37,7,2,5,2,100,14,90,Completed,Tablet,Evening,Completed,35.57692307692308,6.428571428571429,65.82923544253282,0.05263157894736842,50.0,0,Passive Users
U020,Tutorial,61,10,0,3,3,0,51,14,93,Completed,Laptop,Afternoon,Completed,16.39344262295082,6.642857142857143,33.850872770793394,0.2727272727272727,51.0,0,Passive Users
U021,Article,92,54,1,5,0,3,45,4,97,Completed,Laptop,Afternoon,Not Completed,58.69565217391305,24.25,29.599763755106643,0.09090909090909091,15.0,1,Regular Learners
U022,Quiz,120,14,3,2,1,2,65,14,95,Not Completed,Mobile,Afternoon,Not Completed,11.666666666666666,6.785714285714286,20.321512679613647,0.13333333333333333,32.5,0,Passive Users
U023,Tutorial,25,9,6,0,0,1,66,15,102,Not Completed,Tablet,Night,Not Completed,36.0,6.8,20.301716782142734,0.0,66.0,0,Passive Users
U024,Video,78,27,3,4,1,1,47,6,95,Not Completed,Tablet,Evening,Not Completed,34.61538461538461,15.833333333333334,23.504083888397346,0.14285714285714285,47.0,0,Passive Users
U025,Video,108,14,2,2,1,2,58,11,53,Completed,Tablet,Afternoon,Not Completed,12.962962962962962,4.818181818181818,15.295554266167596,0.13333333333333333,29.0,0,Passive Users
U026,Course,21,21,2,2,0,0,99,3,146,Completed,Laptop,Morning,Completed,100.0,48.666666666666664,53.38066145602238,0.09090909090909091,99.0,2,Highly Engaged Learners
U027,Course,34,6,3,0,4,1,81,8,174,Not Completed,Tablet,Morning,Not Completed,17.647058823529413,21.75,31.47708313674629,0.0,81.0,0,Passive Users
U028,Article,61,17,2,1,1,4,40,3,83,Not Completed,Tablet,Night,Not Completed,27.86885245901639,27.666666666666668,3.967180662463167,0.05555555555555555,10.0,0,Passive Users
U029,Tutorial,94,44,0,3,0,2,96,14,45,Completed,Mobile,Morning,Completed,46.808510638297875,3.2142857142857144,43.84704147189687,0.06666666666666667,48.0,0,Passive Users
U030,Tutorial,109,6,5,5,1,2,68,12,110,Not Completed,Mobile,Afternoon,Not Completed,5.5045871559633035,9.166666666666666,26.598991542749218,0.7142857142857143,34.0,0,Passive Users
U031,Course,62,62,2,1,2,1,84,13,165,Completed,Mobile,Morning,Completed,100.0,12.692307692307692,69.11839994539064,0.015873015873015872,84.0,2,Highly Engaged Learners
U032,Tutorial,32,32,4,4,4,0,88,13,179,Completed,Laptop,Afternoon,Completed,100.0,13.76923076923077,92.87347691047476,0.12121212121212122,88.0,2,Highly Engaged Learners
U033,Tutorial,25,25,2,2,3,4,74,2,180,Completed,Tablet,Morning,Completed,100.0,90.0,62.585753779992494,0.07692307692307693,18.5,2,Highly Engaged Learners
U034,Video,66,66,1,0,1,0,79,13,179,Not Completed,Mobile,Evening,Completed,100.0,13.76923076923077,58.131676849039216,0.0,79.0,2,Highly Engaged Learners
U035,Course,48,48,0,0,2,3,53,13,113,Not Completed,Mobile,Night,Completed,100.0,8.692307692307692,56.350046076657904,0.0,17.666666666666668,2,Highly Engaged Learners
U036,Quiz,118,21,1,3,3,3,74,3,75,Completed,Mobile,Night,Not Completed,17.796610169491526,25.0,28.281812128718453,0.13636363636363635,24.666666666666668,0,Passive Users
U037,Course,62,13,1,1,3,1,87,11,64,Not Completed,Tablet,Evening,Completed,20.967741935483872,5.818181818181818,36.024129415404474,0.07142857142857142,87.0,0,Passive Users
U038,Quiz,51,51,4,3,1,1,84,6,100,Completed,Tablet,Evening,Completed,100.0,16.666666666666668,61.99187685586539,0.057692307692307696,84.0,1,Regular Learners
U039,Video,67,19,0,2,0,1,59,2,31,Completed,Tablet,Night,Not Completed,28.35820895522388,15.5,6.278243921523482,0.1,59.0,0,Passive Users
U040,Article,48,28,0,3,1,3,95,8,110,Completed,Laptop,Evening,Completed,58.333333333333336,13.75,47.83781016416944,0.10344827586206896,31.666666666666668,0,Passive Users
U041,Tutorial,23,23,7,5,2,0,88,1,164,Completed,Laptop,Afternoon,Completed,100.0,164.0,70.30615379364484,0.20833333333333334,88.0,2,Highly Engaged Learners
U042,Video,104,39,0,0,3,0,52,7,130,Not Completed,Mobile,Morning,Not Completed,37.5,18.571428571428573,25.171507559984985,0.0,52.0,0,Passive Users
U043,Tutorial,14,14,0,0,1,1,100,2,102,Completed,Tablet,Night,Completed,100.0,51.0,51.302092221577524,0.0,100.0,2,Highly Engaged Learners
U044,Article,44,44,0,4,0,4,77,10,117,Completed,Mobile,Evening,Completed,100.0,11.7,62.288815317928936,0.08888888888888889,19.25,2,Highly Engaged Learners
U045,Article,96,53,4,4,1,0,88,12,150,Not Completed,Tablet,Afternoon,Completed,55.208333333333336,12.5,52.58882555718626,0.07407407407407407,88.0,2,Highly Engaged Learners
U046,Video,102,73,2,2,4,3,85,6,19,Completed,Tablet,Night,Completed,71.56862745098039,3.1666666666666665,63.034072634480594,0.02702702702702703,28.333333333333332,1,Regular Learners
U047,Article,116,66,7,5,0,2,88,12,18,Completed,Tablet,Evening,Completed,56.896551724137936,1.5,51.015393016826515,0.07462686567164178,44.0,1,Regular Learners
U048,Quiz,84,64,1,1,2,2,47,2,164,Not Completed,Laptop,Night,Not Completed,76.19047619047619,82.0,33.754443106298126,0.015384615384615385,23.5,2,Highly Engaged Learners
U049,Article,27,27,0,3,3,2,82,2,43,Not Completed,Laptop,Evening,Completed,100.0,21.5,68.52452302126353,0.10714285714285714,41.0,1,Regular Learners
U050,Tutorial,120,54,6,2,1,4,59,10,138,Not Completed,Tablet,Night,Not Completed,45.0,13.8,29.625584490938255,0.03636363636363636,14.75,0,Passive Users
U051,Tutorial,85,82,2,4,0,1,99,13,169,Completed,Mobile,Afternoon,Completed,96.47058823529412,13.0,70.70789406584846,0.04819277108433735,99.0,2,Highly Engaged Learners
U052,Tutorial,18,18,2,3,4,3,72,8,98,Not Completed,Tablet,Afternoon,Completed,100.0,12.25,78.62043073142428,0.15789473684210525,24.0,1,Regular Learners
U053,Tutorial,83,13,1,4,0,4,65,15,102,Not Completed,Tablet,Morning,Not Completed,15.66265060240964,6.8,24.595518495018336,0.2857142857142857,16.25,0,Passive Users
U054,Quiz,67,38,4,3,5,3,78,15,80,Completed,Mobile,Night,Completed,56.71641791044776,5.333333333333333,74.09101120561907,0.07692307692307693,26.0,0,Passive Users
U055,Course,117,80,3,1,4,3,60,12,76,Completed,Tablet,Morning,Completed,68.37606837606837,6.333333333333333,57.657082896852174,0.012345679012345678,20.0,0,Passive Users
U056,Video,26,26,3,2,2,1,92,2,157,Completed,Mobile,Night,Completed,100.0,78.5,61.99187685586539,0.07407407407407407,92.0,2,Highly Engaged Learners
U057,Tutorial,111,39,2,3,3,2,88,7,126,Completed,Laptop,Evening,Completed,35.13513513513514,18.0,45.427525891022945,0.075,44.0,0,Passive Users
U058,Article,16,5,5,5,2,1,81,3,103,Completed,Laptop,Evening,Not Completed,31.25,34.333333333333336,37.939861428717705,0.8333333333333334,81.0,0,Passive Users
U059,Tutorial,55,44,5,0,1,4,82,8,172,Not Completed,Mobile,Morning,Completed,80.0,21.5,43.58169220792518,0.0,20.5,2,Highly Engaged Learners
U060,Article,22,22,1,5,0,4,93,7,108,Not Completed,Laptop,Night,Completed,100.0,15.428571428571429,67.03983071094576,0.21739130434782608,23.25,1,Regular Learners
U061,Article,49,26,3,5,5,4,80,14,122,Not Completed,Laptop,Morning,Completed,53.06122448979592,8.714285714285714,78.88706935042012,0.18518518518518517,20.0,0,Passive Users
U062,Tutorial,51,51,2,0,4,1,48,8,112,Completed,Mobile,Afternoon,Completed,100.0,14.0,60.804123007611175,0.0,48.0,2,Highly Engaged Learners
U063,Quiz,18,18,4,5,4,3,63,14,100,Completed,Laptop,Morning,Completed,100.0,7.142857142857143,90.2010307519028,0.2631578947368421,21.0,1,Regular Learners
U064,Article,59,59,3,3,0,3,76,7,99,Completed,Tablet,Morning,Completed,100.0,14.142857142857142,54.86535376634014,0.05,25.333333333333332,1,Regular Learners
U065,Article,36,36,2,3,5,0,88,11,26,Not Completed,Tablet,Evening,Completed,100.0,2.3636363636363638,92.87347691047476,0.08108108108108109,88.0,1,Regular Learners
U066,Tutorial,75,15,2,3,0,4,80,6,27,Not Completed,Mobile,Morning,Not Completed,20.0,4.5,16.857230622205538,0.1875,20.0,0,Passive Users
U067,Article,14,14,0,0,1,3,56,13,125,Completed,Laptop,Night,Completed,100.0,9.615384615384615,51.302092221577524,0.0,18.666666666666668,2,Highly Engaged Learners
U068,Article,38,38,4,5,2,0,63,7,102,Not Completed,Tablet,Evening,Completed,100.0,14.571428571428571,70.00921533158127,0.1282051282051282,63.0,1,Regular Learners
U069,Tutorial,46,18,0,0,4,3,60,5,100,Completed,Tablet,Morning,Completed,39.130434782608695,20.0,31.88489887620441,0.0,20.0,0,Passive Users
U070,Tutorial,47,47,1,3,1,4,90,7,91,Not Completed,Laptop,Afternoon,Completed,100.0,13.0,64.9612614765009,0.0625,22.5,1,Regular Learners
U071,Video,92,34,0,5,2,2,98,1,77,Not Completed,Laptop,Morning,Not Completed,36.95652173913043,77.0,43.32348484960905,0.14285714285714285,49.0,0,Passive Users
U072,Quiz,17,17,6,5,1,4,78,1,123,Not Completed,Tablet,Morning,Completed,100.0,123.0,61.397999931738276,0.2777777777777778,19.5,1,Regular Learners
U073,Quiz,118,89,0,4,5,1,94,9,10,Completed,Tablet,Morning,Completed,75.42372881355932,1.1111111111111112,84.16663726013671,0.044444444444444446,94.0,1,Regular Learners
U074,Article,74,41,6,4,4,3,80,14,67,Not Completed,Mobile,Evening,Completed,55.4054054054054,4.785714285714286,70.49876252579416,0.09523809523809523,26.666666666666668,0,Passive Users
U075,Quiz,95,9,3,1,0,3,78,5,163,Not Completed,Mobile,Night,Not Completed,9.473684210526317,32.6,2.9480079255444336,0.1,26.0,0,Passive Users
U076,Article,26,26,5,2,0,1,52,13,118,Completed,Tablet,Afternoon,Completed,100.0,9.076923076923077,51.302092221577524,0.07407407407407407,52.0,2,Highly Engaged Learners
U077,Video,80,80,7,4,2,1,50,5,157,Not Completed,Mobile,Morning,Completed,100.0,31.4,60.21024608348407,0.04938271604938271,50.0,2,Highly Engaged Learners
U078,Tutorial,98,30,7,0,3,2,85,3,125,Completed,Tablet,Night,Not Completed,30.612244897959183,41.666666666666664,26.947078363752752,0.0,42.5,0,Passive Users
U079,Tutorial,54,54,2,4,5,3,58,5,96,Completed,Tablet,Night,Completed,100.0,19.2,80.40206150380558,0.07272727272727272,19.333333333333332,1,Regular Learners
U080,Tutorial,13,8,7,1,2,3,50,3,19,Completed,Mobile,Evening,Not Completed,61.53846153846154,6.333333333333333,28.871817625700007,0.1111111111111111,16.666666666666668,1,Regular Learners
U081,Quiz,45,45,6,5,3,2,52,9,68,Completed,Mobile,Afternoon,Completed,100.0,7.555555555555555,75.05716918666167,0.10869565217391304,26.0,1,Regular Learners
U082,Video,79,79,4,1,1,0,85,9,50,Completed,Laptop,Evening,Completed,100.0,5.555555555555555,58.72555377316632,0.0125,85.0,1,Regular Learners
U083,Quiz,40,40,0,5,5,2,84,6,114,Not Completed,Laptop,Night,Completed,100.0,19.0,92.87347691047476,0.12195121951219512,42.0,1,Regular Learners
U084,Quiz,28,28,6,5,1,4,40,15,142,Completed,Laptop,Night,Completed,100.0,9.466666666666667,66.74289224888221,0.1724137931034483,10.0,2,Highly Engaged Learners
U085,Video,70,22,4,2,4,3,79,1,131,Completed,Tablet,Night,Not Completed,31.428571428571427,131.0,36.24307021692598,0.08695652173913043,26.333333333333332,0,Passive Users
U086,Video,117,44,5,4,5,1,83,7,154,Completed,Mobile,Evening,Completed,37.60683760683761,22.0,60.55794325701148,0.08888888888888889,83.0,0,Passive Users
U087,Video,63,63,7,0,3,4,58,7,31,Completed,Tablet,Afternoon,Completed,100.0,4.428571428571429,56.646984538721455,0.0,14.5,1,Regular Learners
U088,Video,48,43,5,0,4,3,51,14,107,Not Completed,Mobile,Morning,Completed,89.58333333333334,7.642857142857143,63.87248711560123,0.0,17.0,2,Highly Engaged Learners
U089,Tutorial,100,100,7,3,0,2,47,10,178,Completed,Tablet,Evening,Completed,100.0,17.8,49.81739991125977,0.0297029702970297,23.5,2,Highly Engaged Learners
U090,Course,83,18,0,5,3,4,47,10,77,Not Completed,Laptop,Night,Not Completed,21.686746987951807,7.7,37.553483670851875,0.2631578947368421,11.75,0,Passive Users
U091,Course,99,36,1,0,2,3,100,4,148,Completed,Laptop,Evening,Completed,36.36363636363637,37.0,29.38263484015899,0.0,33.333333333333336,0,Passive Users
U092,Video,28,28,0,2,0,0,92,8,65,Not Completed,Laptop,Night,Completed,100.0,8.125,57.24086146284856,0.06896551724137931,92.0,1,Regular Learners
U093,Course,48,42,3,5,0,0,84,6,158,Completed,Tablet,Morning,Completed,87.5,26.333333333333332,57.24086146284856,0.11627906976744186,84.0,2,Highly Engaged Learners
U094,Course,76,76,6,2,2,1,51,4,108,Completed,Mobile,Morning,Completed,100.0,27.0,52.19290760776818,0.025974025974025976,51.0,1,Regular Learners
U095,Video,54,27,2,0,5,3,100,4,85,Not Completed,Mobile,Afternoon,Completed,50.0,21.25,53.67759991808594,0.0,33.333333333333336,0,Passive Users
U096,Course,22,22,1,0,0,0,87,2,35,Completed,Laptop,Night,Completed,100.0,17.5,41.50312297348032,0.0,87.0,1,Regular Learners
U097,Quiz,101,19,0,3,3,2,72,14,124,Not Completed,Laptop,Afternoon,Completed,18.81188118811881,8.857142857142858,41.23558435914583,0.15,36.0,0,Passive Users
U098,Article,67,67,4,0,4,3,84,2,156,Completed,Laptop,Afternoon,Completed,100.0,78.0,64.36738455237379,0.0,28.0,2,Highly Engaged Learners
U099,Article,29,29,1,5,0,2,65,12,118,Not Completed,Laptop,Morning,Completed,100.0,9.833333333333334,64.66432301443736,0.16666666666666666,32.5,2,Highly Engaged Learners
U100,Video,101,21,6,5,3,2,78,14,56,Completed,Mobile,Evening,Completed,20.792079207920793,4.0,51.08453334838244,0.22727272727272727,39.0,0,Passive Users
U101,Tutorial,81,81,7,5,1,0,67,4,80,Completed,Tablet,Evening,Completed,100.0,20.0,61.694938393801834,0.06097560975609756,67.0,1,Regular Learners
U102,Video,70,70,1,3,3,3,97,5,163,Not Completed,Tablet,Afternoon,Completed,100.0,32.6,76.54186149697941,0.04225352112676056,32.333333333333336,2,Highly Engaged Learners
U103,Tutorial,114,70,7,3,4,4,44,8,49,Completed,Tablet,Morning,Completed,61.40350877192983,6.125,51.9689013995448,0.04225352112676056,11.0,1,Regular Learners
U104,Article,48,48,6,0,3,0,47,15,142,Completed,Tablet,Night,Completed,100.0,9.466666666666667,62.88269224205604,0.0,47.0,2,Highly Engaged Learners
U105,Video,10,10,0,1,2,0,64,6,158,Completed,Laptop,Evening,Completed,100.0,26.333333333333332,54.86535376634014,0.09090909090909091,64.0,2,Highly Engaged Learners
U106,Quiz,12,12,6,1,4,3,66,14,141,Completed,Laptop,Afternoon,Completed,100.0,10.071428571428571,76.83879995904297,0.07692307692307693,22.0,2,Highly Engaged Learners
U107,Course,86,86,1,3,5,3,85,15,32,Completed,Laptop,Evening,Completed,100.0,2.1333333333333333,96.73367691730094,0.034482758620689655,28.333333333333332,1,Regular Learners
U108,Tutorial,101,55,4,0,1,2,62,4,115,Completed,Tablet,Evening,Not Completed,54.45544554455446,28.75,20.755650431079488,0.0,31.0,0,Passive Users
U109,Course,71,43,5,1,2,3,69,13,93,Not Completed,Laptop,Night,Completed,60.56338028169014,7.153846153846154,45.927924281413254,0.022727272727272728,23.0,0,Passive Users
U110,Course,72,55,1,0,5,2,84,11,152,Not Completed,Laptop,Morning,Completed,76.38888888888889,13.818181818181818,69.77826319442075,0.0,42.0,2,Highly Engaged Learners
U111,Video,34,34,6,0,3,0,86,7,125,Not Completed,Mobile,Night,Completed,100.0,17.857142857142858,64.9612614765009,0.0,86.0,2,Highly Engaged Learners
U112,Course,65,10,5,0,4,1,62,8,118,Completed,Mobile,Morning,Not Completed,15.384615384615385,14.75,24.76036199712776,0.0,62.0,0,Passive Users
U113,Quiz,42,42,6,4,1,4,88,2,145,Not Completed,Laptop,Evening,Completed,100.0,72.5,61.99187685586539,0.09302325581395349,22.0,2,Highly Engaged Learners
U114,Course,47,11,4,5,2,0,86,12,50,Completed,Mobile,Afternoon,Completed,23.404255319148938,4.166666666666667,46.386812998483,0.4166666666666667,86.0,0,Passive Users
U115,Video,15,15,6,0,5,3,59,7,121,Completed,Mobile,Night,Completed,100.0,17.285714285714285,68.82146148332707,0.0,19.666666666666668,2,Highly Engaged Learners
U116,Quiz,67,67,0,4,5,4,57,15,156,Completed,Laptop,Morning,Completed,100.0,10.4,91.9826615242841,0.058823529411764705,14.25,2,Highly Engaged Learners
U117,Article,53,46,2,3,1,1,57,14,121,Completed,Laptop,Evening,Completed,86.79245283018868,8.642857142857142,57.201643175406204,0.06382978723404255,57.0,2,Highly Engaged Learners
U118,Course,54,54,7,1,3,1,41,2,112,Not Completed,Laptop,Morning,Not Completed,100.0,56.0,49.22352298713266,0.01818181818181818,41.0,1,Regular Learners
U119,Video,41,41,7,5,1,2,43,2,55,Completed,Laptop,Morning,Completed,100.0,27.5,52.19290760776818,0.11904761904761904,21.5,1,Regular Learners
U120,Article,54,19,1,1,5,4,69,8,165,Not Completed,Tablet,Morning,Completed,35.18518518518518,20.625,45.7482432089074,0.05,17.25,0,Passive Users
U121,Article,70,70,2,5,0,2,72,2,77,Completed,Tablet,Evening,Completed,100.0,38.5,54.86535376634014,0.07042253521126761,36.0,1,Regular Learners
U122,Tutorial,56,33,6,1,2,0,75,15,131,Not Completed,Laptop,Afternoon,Completed,58.92857142857143,8.733333333333333,49.308362547722254,0.029411764705882353,75.0,2,Highly Engaged Learners
U123,Quiz,30,30,4,5,1,4,57,11,24,Not Completed,Mobile,Afternoon,Completed,100.0,2.1818181818181817,67.03983071094576,0.16129032258064516,14.25,1,Regular Learners
U124,Course,89,89,1,1,5,0,76,9,174,Not Completed,Laptop,Afternoon,Completed,100.0,19.333333333333332,79.80818457967848,0.011111111111111112,76.0,2,Highly Engaged Learners
U125,Video,94,94,6,1,3,2,58,12,138,Not Completed,Laptop,Morning,Completed,100.0,11.5,66.14901532475511,0.010526315789473684,29.0,2,Highly Engaged Learners
U126,Tutorial,84,84,5,1,5,4,86,1,120,Not Completed,Mobile,Evening,Completed,100.0,120.0,73.27553841428035,0.011764705882352941,21.5,2,Highly Engaged Learners
U127,Quiz,110,31,3,1,3,2,67,15,33,Not Completed,Tablet,Morning,Completed,28.18181818181818,2.2,38.263794296423406,0.03125,33.5,0,Passive Users
U128,Tutorial,45,40,6,3,1,4,79,9,36,Completed,Laptop,Afternoon,Completed,88.88888888888889,4.0,58.791540098069326,0.07317073170731707,19.75,1,Regular Learners
U129,Quiz,108,33,2,0,3,2,59,15,49,Not Completed,Laptop,Afternoon,Completed,30.555555555555557,3.2666666666666666,33.452791335312924,0.0,29.5,0,Passive Users
U130,Quiz,28,28,1,2,4,1,88,1,173,Completed,Tablet,Evening,Completed,100.0,173.0,71.49390764189903,0.06896551724137931,88.0,2,Highly Engaged Learners
U131,Course,29,29,2,4,4,2,72,10,33,Not Completed,Tablet,Morning,Completed,100.0,3.3,84.55919997269531,0.13333333333333333,36.0,1,Regular Learners
U132,Quiz,66,66,1,2,4,1,51,13,33,Completed,Mobile,Night,Completed,100.0,2.5384615384615383,74.7602307245981,0.029850746268656716,51.0,1,Regular Learners
U133,Tutorial,27,27,6,2,0,2,97,10,13,Not Completed,Tablet,Night,Completed,100.0,1.3,61.10106146967473,0.07142857142857142,48.5,1,Regular Learners
U134,Quiz,56,31,0,5,1,4,90,2,76,Not Completed,Tablet,Afternoon,Not Completed,55.35714285714286,38.0,44.939125177358555,0.15625,22.5,1,Regular Learners
U135,Course,114,59,5,0,5,4,54,6,43,Completed,Tablet,Evening,Completed,51.75438596491229,7.166666666666667,43.22744983213008,0.0,13.5,0,Passive Users
U136,Course,58,37,6,5,5,4,80,6,125,Not Completed,Mobile,Morning,Completed,63.793103448275865,20.833333333333332,74.48377077715963,0.13157894736842105,20.0,2,Highly Engaged Learners
U137,Tutorial,23,23,7,0,0,3,78,1,32,Not Completed,Tablet,Morning,Completed,100.0,32.0,37.642922966654154,0.0,26.0,1,Regular Learners
U138,Article,24,24,2,0,3,0,41,7,118,Not Completed,Tablet,Afternoon,Completed,100.0,16.857142857142858,51.599030683641075,0.0,41.0,2,Highly Engaged Learners
U139,Article,40,40,3,1,0,4,68,8,78,Completed,Mobile,Afternoon,Completed,100.0,9.75,46.5510768285607,0.024390243902439025,17.0,1,Regular Learners
U140,Quiz,10,10,3,3,3,1,80,2,104,Not Completed,Tablet,Morning,Completed,100.0,52.0,67.93064609713642,0.2727272727272727,80.0,1,Regular Learners
U141,Video,63,9,4,1,3,4,49,8,71,Completed,Tablet,Morning,Not Completed,14.285714285714285,8.875,18.002564690164952,0.1,12.25,0,Passive Users
U142,Quiz,12,12,1,3,2,3,41,9,178,Not Completed,Mobile,Afternoon,Completed,100.0,19.77777777777778,58.72555377316632,0.23076923076923078,13.666666666666666,2,Highly Engaged Learners
U143,Tutorial,25,25,2,5,5,1,90,6,66,Not Completed,Laptop,Morning,Completed,100.0,11.0,94.65510768285607,0.19230769230769232,90.0,1,Regular Learners
U144,Tutorial,96,42,4,3,4,3,50,5,63,Completed,Mobile,Night,Not Completed,43.75,12.6,41.800061435543874,0.06976744186046512,16.666666666666668,0,Passive Users
U145,Tutorial,66,17,2,5,3,1,52,12,79,Not Completed,Tablet,Afternoon,Not Completed,25.757575757575758,6.583333333333333,43.34774069235997,0.2777777777777778,52.0,0,Passive Users
U146,Tutorial,84,35,7,2,2,2,49,9,110,Not Completed,Tablet,Morning,Not Completed,41.66666666666667,12.222222222222221,29.8235434656473,0.05555555555555555,24.5,0,Passive Users
U147,Tutorial,21,21,1,2,5,0,53,13,66,Completed,Tablet,Afternoon,Completed,100.0,5.076923076923077,81.29287688999625,0.09090909090909091,53.0,1,Regular Learners
U148,Course,83,83,6,3,4,0,57,12,147,Not Completed,Mobile,Evening,Completed,100.0,12.25,78.91736919348783,0.03571428571428571,57.0,2,Highly Engaged Learners
U149,Article,105,105,6,3,3,3,90,11,177,Completed,Tablet,Afternoon,Completed,100.0,16.09090909090909,81.58981535205979,0.02830188679245283,30.0,2,Highly Engaged Learners
U150,Tutorial,25,25,3,5,3,0,93,9,144,Completed,Tablet,Afternoon,Completed,100.0,16.0,87.23164613126728,0.19230769230769232,93.0,2,Highly Engaged Learners
U151,Video,81,56,6,1,0,3,48,1,112,Completed,Mobile,Evening,Not Completed,69.1358024691358,112.0,17.634402893285444,0.017543859649122806,16.0,1,Regular Learners
U152,Video,111,60,6,5,0,3,96,11,175,Not Completed,Laptop,Night,Completed,54.054054054054056,15.909090909090908,50.85267184656242,0.08196721311475409,32.0,2,Highly Engaged Learners
U153,Video,85,19,7,1,5,3,78,3,94,Completed,Laptop,Morning,Not Completed,22.35294117647059,31.333333333333332,36.385301244973235,0.05,26.0,0,Passive Users
U154,Video,33,33,0,2,4,0,67,9,70,Completed,Tablet,Evening,Completed,100.0,7.777777777777778,74.7602307245981,0.058823529411764705,67.0,1,Regular Learners
U155,Course,37,12,3,0,3,3,42,11,12,Not Completed,Mobile,Afternoon,Not Completed,32.432432432432435,1.0909090909090908,24.545529180499663,0.0,14.0,0,Passive Users
U156,Video,17,9,4,3,5,0,59,2,137,Completed,Tablet,Morning,Completed,52.94117647058824,68.5,51.21475737979414,0.3,59.0,0,Passive Users
U157,Tutorial,101,33,5,1,5,3,45,12,95,Not Completed,Mobile,Evening,Not Completed,32.67326732673268,7.916666666666667,42.17931947124881,0.029411764705882353,15.0,0,Passive Users
U158,Quiz,45,45,0,5,1,4,66,4,56,Not Completed,Mobile,Morning,Completed,100.0,14.0,61.397999931738276,0.10869565217391304,16.5,1,Regular Learners
U159,Video,99,72,4,2,0,3,92,4,85,Not Completed,Laptop,Morning,Completed,72.72727272727273,21.25,39.53253136160403,0.0273972602739726,30.666666666666668,1,Regular Learners
